1199,889,991,1266,1999,,,,,
797,823,844,797,283,,,,,
725,621,523,471,356,,,,,
454,388,350,254,302,,,,,
529,303,382,167,272,,,,,
483,194,333,218,129,,,,,
214,268,210,141,155,,,,,
218,390,216,217,169,,,,,
140,236,170,218,171,,,,,
64,160,197,154,196,,,,,
58,228,122,140,182,,,,,
70,160,94,86,316,,,,,
98,90,112,120,142,50,,,,
72,112,98,110,108,71,,,,
60,88,78,124,130,39,,,,
42,86,64,98,135,46,,,,
107,74,72,116,64,36,,,,
144,62,56,94,140,17,,,,
115,64,84,70,130,44,62,,,
92,92,38,98,185,50,48,,,
54,150,84,58,82,27,49,,,
74,172,74,120,148,35,38,23,,
71,77,60,104,112,19,48,37,28,
69,66,58,80,60,27,49,61,20,
68,118,100,60,57,24,63,21,49,33
50,102,96,38,84,22,49,32,29,17
46,94,138,48,102,26,64,17,18,28
6,84,54,72,132,14,75,27,22,15
18,114,64,114,102,37,71,31,28,31
20,122,48,102,118,27,54,31,30,20
1155,2405,1043,2470,2218,637,995,1127,489,917
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
